
--------------------------------------------------
Calle Falsa 123,30,Soltero,Juan Pérez,12.345.678-9,programacion_id,programacion
Av. Siempre Viva 456,25,Casada,María González,98.765.432-1,programacion_id,programacion
Calle de la Luna 789,40,Divorciado,Pedro Ramírez,11.223.344-5,programacion_id,programacion
Av. del Sol 101,35,Soltera,Ana Torres,22.334.455-6,programacion_id,programacion
Calle Estrella 202,28,Casado,Luis Fernández,33.445.566-7,programacion_id,programacion
Av. de la Paz 303,32,Viuda,Carmen López,44.556.677-8,programacion_id,programacion
Calle del Mar 404,45,Soltero,Jorge Martínez,55.667.788-9,programacion_id,programacion
Av. de los Pinos 505,29,Casada,Laura Sánchez,66.778.899-0,programacion_id,programacion
Calle del Bosque 606,38,Divorciado,Diego Herrera,77.889.900-1,programacion_id,programacion
Av. de las Flores 707,27,Soltera,Elena Morales,88.990.011-2,programacion_id,programacion
Calle del Río 808,33,Casado,Andrés Castro,99.101.112-3,programacion_id,programacion
Av. de los Lagos 909,31,Viuda,Sofía Rojas,10.112.223-4,programacion_id,programacion
Calle del Viento 1010,36,Soltero,Ricardo Vega,11.223.334-5,programacion_id,programacion
Av. de la Montaña 1111,26,Casada,Patricia Ruiz,12.334.445-6,programacion_id,programacion
Calle del Valle 1212,39,Divorciado,Fernando Díaz,13.445.556-7,programacion_id,programacion
Av. de los Árboles 1313,34,Soltera,Gabriela Ortiz,14.556.667-8,programacion_id,programacion
Calle del Cielo 1414,37,Casado,Manuel Silva,15.667.778-9,programacion_id,programacion
Av. de la Tierra 1515,24,Viuda,Daniela Reyes,16.778.889-0,programacion_id,programacion
Calle del Fuego 1616,41,Soltero,Alejandro Soto,17.889.900-1,programacion_id,programacion
Av. de la Nieve 1717,29,Casada,Natalia Vargas,18.990.011-2,programacion_id,programacion

--------------------------------------------------
Calle Falsa 123,30,Soltero,Juan Pérez,12.345.678-9,programacion_id,programacion
Av. Siempre Viva 456,25,Casada,María González,98.765.432-1,programacion_id,programacion
Calle de la Luna 789,40,Divorciado,Pedro Ramírez,11.223.344-5,programacion_id,programacion
Av. del Sol 101,35,Soltera,Ana Torres,22.334.455-6,programacion_id,programacion
Calle Estrella 202,28,Casado,Luis Fernández,33.445.566-7,programacion_id,programacion
Av. de la Paz 303,32,Viuda,Carmen López,44.556.677-8,programacion_id,programacion
Calle del Mar 404,45,Soltero,Jorge Martínez,55.667.788-9,programacion_id,programacion
Av. de los Pinos 505,29,Casada,Laura Sánchez,66.778.899-0,programacion_id,programacion
Calle del Bosque 606,38,Divorciado,Diego Herrera,77.889.900-1,programacion_id,programacion
Av. de las Flores 707,27,Soltera,Elena Morales,88.990.011-2,programacion_id,programacion
Calle del Río 808,33,Casado,Andrés Castro,99.101.112-3,programacion_id,programacion
Av. de los Lagos 909,31,Viuda,Sofía Rojas,10.112.223-4,programacion_id,programacion
Calle del Viento 1010,36,Soltero,Ricardo Vega,11.223.334-5,programacion_id,programacion
Av. de la Montaña 1111,26,Casada,Patricia Ruiz,12.334.445-6,programacion_id,programacion
Calle del Valle 1212,39,Divorciado,Fernando Díaz,13.445.556-7,programacion_id,programacion
Av. de los Árboles 1313,34,Soltera,Gabriela Ortiz,14.556.667-8,programacion_id,programacion
Calle del Cielo 1414,37,Casado,Manuel Silva,15.667.778-9,programacion_id,programacion
Av. de la Tierra 1515,24,Viuda,Daniela Reyes,16.778.889-0,programacion_id,programacion
Calle del Fuego 1616,41,Soltero,Alejandro Soto,17.889.900-1,programacion_id,programacion
Av. de la Nieve 1717,29,Casada,Natalia Vargas,18.990.011-2,programacion_id,programacion
